Symbol	logFC	P.Value
CDC25C	-2.059249963	0.010591326
ICAM1	0.827251768	0.010592546
ZNF75D	1.924811311	0.010591433
C1QC	-2.756478399	0.010615675
ARMCX6	-0.302880326	0.010625707
OR4X1	-2.398514483	0.010639212
SHPK	-0.79982884	0.01063933
DOC2A	-1.653382214	0.010656396
SCML4	-2.36969142	0.010665379
ARHGEF7	0.51849847	0.010690265
STAR	1.108893494	0.010690168
OGG1	-1.373219066	0.010718179
RIPK5	0.782081662	0.01072165
TMEM82	-2.314003168	0.010753371
ATXN7L2	0.656646755	0.010764696
HIAT1	0.589337102	0.010778946
PARP14	0.565046136	0.010803194
MST1R	-3.36048851	0.010811623
OR5K1	1.308889577	0.010820075
ZNF789	0.439702674	0.010831461
C9orf45	0.745139112	0.010833051
FAM163A	-1.658226821	0.010868178
BAX	0.708912932	0.010866188
FAM117A	0.944297014	0.010879347
CD68	1.153988783	0.010875857
ZNF696	-1.669703201	0.010889944
PRDM14	-1.901444254	0.010894649
UBE2A	-0.512653668	0.010919429
ANXA6	-0.897818804	0.010920093
ATP6V1C2	0.832066298	0.010933929
RIPK5	-0.727638318	0.010937755
SLC6A18	-2.682199444	0.010963821
GIP	-2.139232052	0.010969091
NUP210	0.90245117	0.010988635
CLECL1	-1.893031157	0.010996192
RNASE4	-1.590024422	0.011024679
TMEM16D	-3.221965602	0.011027624
ZNF828	-1.924486049	0.011050831
HOXB6	0.818888486	0.011054823
AP1S3	0.539365352	0.011074864
SSH1	-0.935543626	0.011082361
OR52I1	-2.302987986	0.011097923
CCR9	1.386977734	0.011113395
CHRDL2	-2.643702318	0.011129566
SLC35F2	0.970266988	0.011132341
MTRF1	1.100288475	0.011144086
FAM178A	0.893690315	0.011146816
FBXO7	-0.323445862	0.01117584
FLJ46257	-3.171073797	0.011181173
NHP2	0.326827528	0.011192213
GPX7	-0.312179812	0.011198488
OR6N1	-2.894714297	0.011228571
SPPL2B	0.803215135	0.011229038
PNPT1	0.348518162	0.011238743
HBZ	0.83042518	0.011244153
ASMTL	0.38865933	0.011258571
ATE1	-0.870673554	0.011268003
UGT2B11	-1.611770078	0.011273594
NCRNA00152	0.611251584	0.011278865
SLC22A11	-1.671603846	0.011298789
HMGCL	-0.64697913	0.01130415
UPF2	0.242320328	0.011317311
TMEM123	0.370090062	0.011323998
RAET1E	-2.772220288	0.011353761
MAP2K3	0.933294465	0.011358543
VEZT	0.316810168	0.011370241
C2orf66	-2.840405474	0.011376913
SLC25A6	0.390047494	0.0113924
NRXN3	1.104457267	0.011401494
MT1X	-1.629473607	0.011415198
PNKD	0.898333454	0.011420456
FBXW9	0.796958234	0.011422145
ADARB1	-0.829286868	0.011426387
YWHAQ	0.330467718	0.011467997
HDAC9	1.628565617	0.011471897
BAG4	0.55414697	0.011500828
CLDN14	0.643383234	0.011504322
NRXN2	-1.968254114	0.011526545
BOLL	-2.292506943	0.011531755
KHDRBS3	1.655752305	0.011546304
PCDHGA1	-2.488296239	0.011547605
SMC3	0.797626358	0.011576909
RGS13	0.544039001	0.011606343
ZBED5	0.45458634	0.011623985
ATP6V1E1	-0.284007852	0.011625598
ADSSL1	-1.454265216	0.011669442
ATP11C	1.246965611	0.011674939
LOC728606	-2.810032872	0.011692792
CDY2A	-3.457619402	0.011698705
FARP1	-2.604965721	0.011719644
BAT1	0.338730492	0.011726716
PIK3C2G	-0.607524153	0.011735314
SKIP	1.16641344	0.011741203
ALOX15B	1.156780099	0.011755596
TAAR5	-1.468289838	0.011776459
OR56B1	-1.722983596	0.011821218
CNNM2	0.764558289	0.011825039
ZGPAT	-1.233311734	0.011828654
UBE2V1	0.815606895	0.011837183
MED7	0.868422226	0.011852785
KIAA0895	-1.826213218	0.011866161
TMEM104	-0.95221001	0.01188175
SNAG1	-1.539322483	0.011891977
FLJ43763	-2.327690585	0.01190824
MIPOL1	1.363496216	0.01192985
GUCY1A2	-2.219966845	0.011949065
SHOX	-2.338306703	0.011950188
YPEL2	-0.737361652	0.011969013
MTIF2	-2.439102442	0.011974803
NEXN	0.878083514	0.012011243
CLU	-1.243023219	0.012011293
PLSCR4	0.916600897	0.012030333
PIGY	0.529099456	0.012032498
C1orf116	-2.420612258	0.012049634
MLF1IP	-1.004645961	0.01205587
C7orf13	-1.664434246	0.012090813
TMEM30A	0.750546964	0.012093464
HIST1H2AA	-2.578417946	0.012124732
DERL2	0.493245704	0.012129084
C9orf11	0.633780106	0.012144335
FLJ35024	1.006359045	0.012143871
MMP7	1.993915968	0.012158892
GABRB1	-1.735471351	0.01217442
CRYL1	0.529745112	0.012192552
PPP2R2B	-2.045653793	0.012198554
C4orf26	-1.490223297	0.012228468
ARRDC2	0.415588272	0.012238669
YIPF5	1.363774053	0.01227615
METT5D1	0.554425962	0.012274931
HEATR5A	-0.806095232	0.012283078
IL1F5	-2.27428572	0.012285108
COL5A3	1.374393967	0.012320444
FLJ45139	-2.406847679	0.012319805
RNF220	-0.253180192	0.01234209
NPAS4	-1.942349409	0.012342117
NPL	-0.85628012	0.012352459
EFEMP1	-2.147692067	0.01235471
HNRNPCL1	-1.578658378	0.012395971
C8ORFK32	-1.612722554	0.01240866
REG1A	-2.35863251	0.012423126
CXCL10	1.904856893	0.012434125
HELT	-1.441927246	0.012469187
PARP16	0.681397635	0.012470418
TNFRSF6B	-0.983651437	0.012503694
GPR150	0.71345865	0.012508714
VASN	-1.721087073	0.012530121
SAMD4A	-1.522030264	0.012538219
WBSCR23	-0.785744891	0.012557869
SPG3A	0.636795096	0.01255829
C2orf25	0.508986062	0.012577041
ABCC13	1.087792738	0.01258116
MIER3	-0.877247192	0.012603212
GLDN	-2.697165285	0.012614872
PICK1	0.621788654	0.012657303
RP9P	1.255238654	0.012667134
C6orf25	-1.207138034	0.012681087
PSME1	0.930388833	0.012682464
CYTL1	0.458455016	0.012711957
HOXC13	-1.030853367	0.012719094
PFDN1	0.575695134	0.012761033
SSSCA1	-0.490980336	0.012764174
NOP14	-0.70608238	0.012797476
FLJ40852	-1.524527651	0.012806837
KIAA0319L	0.411181136	0.012835356
B3GALT2	1.062971449	0.012836834
FEM1A	-0.432090932	0.012856136
H19	1.573640312	0.012864453
CTSL1	-1.573549416	0.012884656
CYP26B1	-2.614017938	0.012899072
MGC39606	-1.356435791	0.012934597
DUT	-0.692830424	0.01294442
RGNEF	-1.782815816	0.012951023
FIGNL1	-1.576229245	0.012953852
TAPBP	0.493610892	0.012964218
ZPBP2	1.106847117	0.012962282
NUBPL	0.353018368	0.012999646
TPSB2	-1.033009752	0.013002542
NAV3	-2.378760007	0.013034028
KIAA0564	0.743769334	0.013042513
LGI2	-0.931229964	0.013072075
PRMT6	1.439370902	0.013080281
ST5	-1.983050346	0.013096655
MATR3	-0.496098444	0.013112677
ROPN1	-2.580228548	0.013142321
RAB13	0.594176031	0.01315517
GSPT1	0.821425263	0.013177909
EIF2C1	0.73102685	0.013200865
ZNF780B	1.242160015	0.013207607
ENOPH1	-0.363838224	0.013215125
L1CAM	0.724555335	0.013230931
ATP7B	-1.128349186	0.013232836
PRAMEF10	-2.131560566	0.013244275
PNMA6A	-1.43827487	0.013247592
MYLK3	-2.41220893	0.013275069
FAM161A	0.936908843	0.013277957
AQP8	1.0413516	0.01329452
RORA	2.169821285	0.013293553
UCHL5	-0.587503576	0.013328164
HINT2	-0.292586802	0.013331417
PLAC8L1	-1.557793341	0.013370511
ATP9A	0.752417107	0.013374019
BOLL	-2.219507643	0.013387268
MAP3K7IP1	-0.451581048	0.013392207
LOC728819	0.871477385	0.013433104
C17orf103	-1.749617001	0.013436193
SPTLC2	0.966117667	0.013463034
PEX16	-1.074424585	0.013469062
TAS2R10	0.83306258	0.013478908
AAA1	-3.573281631	0.013497219
SF4	0.333487686	0.013512444
RAB25	-1.256622486	0.013522032
C11orf54	0.83105085	0.01355572
SEC61B	0.456006638	0.013557112
UBD	-2.036839307	0.013567939
DLGAP2	0.665170017	0.013567368
WNT11	-1.437426883	0.013583247
IKZF5	-0.627963076	0.013586101
DCDC1	-1.766060092	0.013610569
TNFRSF13B	-2.01329797	0.013624277
GPR26	-0.845825112	0.013645005
C1orf158	-2.521709179	0.013646602
HAO2	-1.648815692	0.013664804
DDRGK1	0.469124988	0.01366971
CAMK2G	0.552782768	0.013692331
B3GAT1	-1.805878963	0.013702288
KRTAP22-1	-1.589666471	0.013728418
KIAA0562	-0.587358218	0.013737054
ZNF334	1.278353084	0.013759772
KCNJ5	0.754205154	0.013758617
ZNF213	-0.964058396	0.013784116
SURF2	0.74766214	0.013786948
CCDC74B	-1.862383458	0.013804334
TAL2	-1.294251117	0.013806578
SAMSN1	0.664998752	0.013823828
KEAP1	-2.003753577	0.013824902
PRDM2	1.388728171	0.013849755
IRAK4	-0.845037248	0.013857648
SPNS2	0.667661364	0.013876452
OFCC1	-1.813657008	0.0138798
PSMD3	0.856699364	0.013886026
MSL3	0.612729343	0.013885285
RAP2A	0.827092346	0.013928202
CHMP6	-1.386982532	0.013934041
CACNB2	-2.549609079	0.013956072
CYP4F3	-1.705857815	0.013969399
C1QTNF6	1.036115969	0.014001179
ZNF286A	-1.703938457	0.014016291
JUNB	0.384676812	0.014018161
CDH16	-2.361640286	0.014014108
HIST1H3C	-0.721769062	0.014047013
COG6	1.297166318	0.014054693
DST	0.659052716	0.014066292
PTF1A	-1.465157249	0.014077363
C4orf42	0.853143368	0.014107133
GRB10	-1.13565792	0.014117194
ESD	0.313641058	0.014134842
USP16	0.598011485	0.014136955
TMIGD2	0.770452623	0.014171064
AP1G2	0.488925976	0.014175928
MSTP9	-1.642241863	0.014197717
GAST	-1.921433477	0.014238632
ARF1	0.263384706	0.014263113
AANAT	1.228662978	0.01426533
COPG2IT1	1.122009747	0.014282222
PTAR1	0.740342556	0.014290587
C10orf78	0.622442222	0.014300031
WISP3	-2.345633153	0.014301844
MPHOSPH6	1.153386637	0.014326784
SP2	0.818990743	0.014336815
C15orf29	1.204319238	0.014365695
NADSYN1	-0.373786326	0.014370932
PILRA	-0.847957791	0.014379162
NPY2R	-1.829491125	0.014380729
EEF1A1	0.260498964	0.014407171
NXN	-1.810993695	0.014408263
GRLF1	1.338889739	0.014419776
C10orf59	1.043125338	0.014424206
IRX3	-1.748634725	0.014447141
GLYCTK	0.541178178	0.014448792
FANCC	0.866862653	0.014478698
COQ7	-0.90851661	0.014480477
C11orf51	0.83148624	0.014506935
OR10J1	-1.669946858	0.014516608
RDH10	1.115852773	0.014530737
TPO	-2.611108623	0.01452942
INTS5	-0.666453692	0.014554488
ATP1A4	0.984329712	0.014563794
NFIX	-0.821469912	0.014610346
RGS12	-1.278021481	0.014610854
ICMT	-1.084261676	0.01463722
MCPH1	-1.474215336	0.014652007
HDAC10	-0.936213984	0.014674563
SC65	-1.22421533	0.014681941
CCDC46	0.990821464	0.01471245
RORC	-2.676951563	0.014717003
CECR6	-1.962060078	0.014770452
C5orf44	-1.890296402	0.014776652
AMH	-1.117537379	0.014802303
PPP2CA	0.433521618	0.014802434
MADCAM1	-2.226617568	0.014824288
MGA	-1.152745259	0.014849219
BCL2L10	0.90531199	0.014900407
DLGAP5	-1.167636291	0.014918893
CASC2	-2.407328735	0.014951833
TMEM126A	-0.359745144	0.014953493
NEK10	-2.241927998	0.014976342
NAT8B	-1.842353608	0.014978216
NCAPG2	-2.206313397	0.0149874
ST6GALNAC3	1.092546807	0.01498969
LCLAT1	1.051448808	0.015006313
ACTL7B	-1.692328875	0.015005375
ATPBD4	0.905130697	0.01506751
MYO19	-1.049865432	0.015071958
ASIP	-2.142591599	0.015095176
PAX3	-1.826224442	0.01509593
PHC3	0.429550504	0.015107676
ZNF682	-1.35735277	0.015103783
C6orf225	0.894646561	0.0151295
CD160	0.782526218	0.015144514
LCA5L	-0.907553907	0.015188657
DEF6	0.446672858	0.015187699
RAB11FIP5	1.378777125	0.015226464
FAM175B	0.855669233	0.015224052
PWP2	0.83668085	0.015276642
SLC30A8	-1.959840091	0.01527995
LRRCC1	0.910326987	0.015287119
PPIE	0.794504469	0.015291112
NSUN2	0.742015498	0.015322098
ZXDB	0.412448892	0.015326948
ITGA9	0.612496698	0.015356628
OR6A2	-1.580336691	0.015360384
GOLGA9P	0.591542502	0.015384395
FLJ36166	1.050971217	0.015396991
RFWD3	-0.479046604	0.015410122
PCDHB4	-1.503966981	0.015417134
BCL2L15	-2.29672943	0.015428941
TMEM125	1.483694517	0.015441431
SYT13	-2.076542921	0.015455339
CLTA	0.670381772	0.015452891
SP8	-1.989510581	0.015466241
CNTNAP5	-1.687940434	0.015472319
LOC441426	0.949218722	0.01549532
CCRL1	0.941888591	0.015492979
SCNM1	-0.544692684	0.015513917
HTR2C	-2.260823931	0.015521951
FAF1	-0.324131502	0.015527447
ALKBH4	0.553249162	0.015531697
SLC5A10	1.692209387	0.015559011
COLEC11	-2.092240608	0.01556042
KIAA0182	0.708493924	0.015580428
ZKSCAN5	-1.597914211	0.015593668
ACADSB	0.96832477	0.015609161
SLC25A26	0.716221034	0.015616324
PEBP1	0.558888236	0.015629981
CLDN23	-1.924110964	0.015632086
GMPPA	-1.052319966	0.015659649
FBXL16	0.976425003	0.015669108
PLA2G6	0.713000624	0.015694867
SLC35C1	0.93013543	0.015703371
SEC31A	0.728590195	0.01572959
C21orf121	0.984094475	0.015738464
MMP19	-2.124343985	0.015794102
NCL	0.565422264	0.015804997
ALAD	0.801459822	0.015822441
SF3B1	0.313333476	0.015832566
LZTS1	-1.989827217	0.01586989
RNASEH2A	-0.812580808	0.015872019
LOC150383	-1.699926863	0.015910203
MAP2	-2.69056448	0.015916204
FAM153B	-1.000618192	0.015944933
ANGPTL4	-1.281478227	0.015947789
DIO2	-2.297831827	0.01596294
MEGF10	0.707497237	0.015963942
COL11A1	-0.459434664	0.016026225
LILRA5	-0.902476465	0.016034251
FOXO3	-1.311057598	0.016056314
C11orf17	-1.785739427	0.01605785
PLEKHO2	0.390285248	0.016075868
RIMS1	-2.594701413	0.016074011
NOL7	-0.248107596	0.016115266
CT45A1	-1.562761287	0.016129429
MRPS18C	0.687806634	0.016169509
FSHR	-2.993747596	0.016177864
MYLC2PL	-1.820243418	0.016218018
SCN3B	-2.133673291	0.016223253
APH1A	-0.985383262	0.016245023
APOBEC3H	-2.240820396	0.016269824
BTNL2	0.709902013	0.016278721
PTK2	1.246181156	0.016295253
KRTAP8-1	-3.370808227	0.01630338
KIR2DL3	-2.306451773	0.016309962
YTHDF1	0.526703654	0.016330543
SEC31B	-1.129033209	0.016349603
APEH	-0.35661987	0.016366204
IRX4	0.476105791	0.016368807
APOL4	-1.600136487	0.016402041
TMSL3	0.3518398	0.016406622
FABP9	0.586079362	0.016447395
DDB1	0.441841504	0.016458575
ARRDC1	0.492458564	0.016504282
PPP2R5D	0.907676646	0.016504518
GH2	-2.082134502	0.016530963
CRABP1	-1.107983186	0.016539648
MOBKL2A	0.451378642	0.016559277
UNC50	0.272951196	0.016561793
ERMAP	-0.942512656	0.016593273
SKIV2L2	0.76396654	0.016596766
RAF1	-0.249551756	0.016623122
AADAT	1.172667051	0.016633461
VHLL	-2.18526805	0.016672249
MGC44328	-2.719783095	0.016687203
ZFYVE1	0.53339791	0.016695345
TMX1	0.935110793	0.016698313
EXD3	-0.577735992	0.016739045
MYH6	1.163366375	0.016765218
UOX	-1.330832894	0.016797665
OSTN	-2.380671977	0.016801579
ABCC10	0.581448874	0.016832757
TNRC6A	-0.861017448	0.016838818
SIK2	-1.323733388	0.016870302
SCARNA11	-1.55968569	0.016869458
DGKD	-2.330447079	0.01688767
NCOA3	0.628967881	0.016886188
PPIL3	-0.638907894	0.016924858
ST6GALNAC4	0.604137127	0.016937165
C2orf62	-0.746764384	0.016966298
BTN3A2	0.536086262	0.016977445
CAT	0.929222316	0.01699349
FOXM1	-1.006426087	0.016988783
HAX1	-0.382835712	0.017045486
GPR128	-1.847192149	0.017044964
CAMK2D	0.574035369	0.01707347
CNBP	0.430372246	0.017074804
MAGEL2	-0.73655563	0.017093905
SGCG	-2.281820022	0.017105489
PAR4	-0.370457031	0.017137919
C19orf30	-2.572660175	0.017141435
IMAA	0.288008008	0.017146025
ARHGEF1	-0.781667802	0.017159375
ARHGDIG	-1.058842105	0.017175655
COMMD6	0.986184021	0.017194569
RNF183	-0.579428013	0.017258056
CHRNA5	-1.600317637	0.017256529
CEPT1	0.91769371	0.017290168
SCT	1.365886227	0.017300018
SEC31B	0.842318808	0.017343046
SLC13A1	1.101420065	0.017350756
LOC100130987	-1.959360822	0.017356778
LOC100169752	-1.794832051	0.017372073
SERPINH1	0.937204913	0.017419266
OR4F29	-0.905041644	0.017421382
DDX10	0.7039154	0.017452216
CSNK1E	0.417102036	0.017458795
CSH2	-0.993032608	0.017507561
OR10G3	-2.107028329	0.017526565
CTU2	-0.69126489	0.017565841
WDR86	0.85094131	0.017569142
SORCS3	0.919174869	0.017597687
KLRC2	0.552978612	0.017601747
SLC22A9	0.613498136	0.017628206
RNF160	0.701514911	0.017635483
IL6	-2.073141889	0.01766527
CASP8	-0.548271966	0.017664055
RPLP0	1.040070694	0.01769126
ARL6IP4	0.811089228	0.017701911
ARHGAP28	1.078476395	0.017752684
TBC1D16	1.124923509	0.017760117
GPR179	-2.317814564	0.017781457
HERC6	-1.12739781	0.017792277
WDFY3	-1.248301957	0.017811553
PARD3	-1.151794585	0.017810945
DYNLT1	0.372946772	0.017835577
MEN1	-0.627814116	0.01784143
EPO	-2.980762571	0.017863557
LRRC37A2	-0.617771576	0.017886126
SNAP25	1.388561235	0.017938675
ZNF530	-2.161963725	0.017939398
LCP2	0.66150113	0.017964335
GGH	0.725170904	0.017963587
CCDC74B	-2.000419508	0.017972512
ST14	-1.598462421	0.017980059
RPL7A	0.78871002	0.017988501
WDR89	-1.210479236	0.017997494
ICA1L	-1.048783051	0.018013065
EFHD2	-0.238505074	0.018018149
MTTP	0.951121164	0.018051797
KIAA1737	0.951404938	0.01805034
TIMM9	-0.309129284	0.018088674
FYN	0.393406772	0.018085827
EXOSC4	-0.428636252	0.018094377
HIST1H3J	0.698505729	0.018096925
LRIT3	-2.315619761	0.018122042
XPOT	-0.676679882	0.018126611
PYGO2	-0.369575076	0.01820166
MAGED2	0.757161734	0.018213758
PLAC9	-2.030840037	0.018210536
DUSP9	-1.948064292	0.018216004
NUDT4P1	-1.345913882	0.018249482
CHRNB1	-0.665247454	0.01826604
SAC	-1.840012787	0.018289416
BBS9	0.68959597	0.01829802
ALAS1	0.446921844	0.018333806
WDYHV1	0.74441255	0.018336212
OR56B4	-1.757021142	0.018373341
LRRC8E	-1.538154983	0.018383134
ACOT9	0.996615785	0.018393618
MAZ	0.746320478	0.01838947
MAPK4	-0.682356479	0.018417705
FLJ32011	-2.281471966	0.018420689
CSRP2BP	-1.756431154	0.018450727
EFS	-2.055147657	0.018457238
SLC6A10P	1.264099319	0.018493517
C20orf79	-0.956732259	0.018499602
SIGLEC12	-1.676019513	0.018532054
NACAP1	-2.465872023	0.018534115
CD40	-1.333994351	0.018586198
DUSP13	-1.822066641	0.018591483
OR13F1	-2.206868144	0.018645323
TIMP4	-2.178161069	0.018652316
RND3	0.814324849	0.018699002
TCEAL1	-0.553000256	0.018704536
SOCS5	0.950276778	0.01873201
SCNM1	-0.464698588	0.018740318
CDC42	0.923212244	0.018792535
PTPDC1	-1.272116143	0.018810622
INTS9	-0.351185662	0.0188359
TGFBRAP1	0.347222006	0.018848781
ARHGAP8	-1.270993394	0.01891126
CALCA	1.098432769	0.018920078
ELL	0.710579588	0.018930457
DACT1	-2.126278725	0.018931189
KCNMB2	-1.957344287	0.018959758
POLR2A	0.455585134	0.018967829
ACTBL2	1.366401876	0.019011044
ASAH1	-1.860548336	0.019021937
GPR97	0.763798578	0.019085313
ZMYND19	-1.345234278	0.019087845
VPS25	0.766005412	0.019107704
SPAM1	1.041461358	0.019116158
TLX1	-2.052828333	0.019134826
CNPY1	1.39519227	0.019145796
TMEM50A	0.918266672	0.019174998
SGCA	-1.571485944	0.019177818
QRICH1	0.613802308	0.019192263
HTR4	-2.354898732	0.019199379
TSR1	-0.682526557	0.019211767
DNAJC3	-0.624113776	0.019220945
MS4A12	-2.81239175	0.019245688
LOH12CR1	-0.73175111	0.019263232
PTGFR	-0.660197853	0.01929509
C14orf126	-1.761139561	0.019303558
LOC255167	0.51377656	0.019335839
BRF1	0.785783798	0.01934022
PXDN	0.96501592	0.019359256
XCR1	-2.11444111	0.019362582
LOC728343	-1.107250168	0.019393802
C20orf107	0.854272633	0.019399803
BEND2	-1.840575634	0.019417044
ISY1	0.719966092	0.019430433
SEMA4A	0.505578856	0.019456174
PTPRT	-1.510572146	0.019459533
SPP1	1.876419162	0.019554469
MTF2	0.55477932	0.019567838
BLVRA	0.503388818	0.01957481
C21orf54	-2.349371385	0.019590148
EDC4	-0.559277046	0.019612604
C17orf55	-1.01263311	0.019620392
CECR1	-2.102484136	0.019655391
KLC4	-2.388502419	0.019660712
SGOL1	-1.969078633	0.019662672
RNU1-3	0.231508896	0.019667297
CD1A	-2.678938757	0.019682228
DYRK1A	0.821891402	0.019682401
RGS10	-2.256795551	0.01970469
AZIN1	0.54634297	0.019728174
SLC39A7	0.681151237	0.0197484
ALG10B	1.289888501	0.019779707
CYP4B1	-2.059652994	0.019800496
BAG4	0.705142716	0.019816669
NBPF11	0.377946836	0.019874848
AES	-1.859669215	0.019879303
CPOX	0.936248928	0.019891011
DSCAML1	-1.512155277	0.019900647
CARD10	0.706051758	0.019951498
NPLOC4	-0.289851332	0.019950971
CORO1A	0.48046029	0.019964098
C22orf15	1.073117796	0.019970949
LOC441376	0.560774601	0.019982469
INO80C	0.954476085	0.019998868
NKX2-1	-2.638805969	0.020077567
ASAH2	-1.984792921	0.020079957
TNNI3K	-2.159860214	0.020109079
UCHL5IP	-0.501939654	0.020113575
C2orf55	0.846923356	0.02014643
LTBR	0.781699282	0.020148655
HAGHL	-0.959187683	0.020185513
RCBTB1	0.597964372	0.020190731
LOC606724	-0.248933158	0.020213932
FRMPD2	-2.052810069	0.020216446
NUP188	-0.447860096	0.02028829
DLX3	-0.982936291	0.020293355
TUB	0.702058525	0.020337156
CCNT2	0.678883098	0.020339253
H2AFY	0.48251941	0.02035694
FBXO4	0.857681982	0.020355871
LCN12	1.818350832	0.020383677
EIF3M	0.580542138	0.020425458
CBX6	0.266594318	0.020475312
TMEM140	0.713033796	0.020487954
RNF31	-0.297207376	0.020527862
SHANK3	0.330657604	0.020531948
SLC25A24	-0.75640011	0.020579406
RGPD6	-0.33738075	0.02058972
EDARADD	-1.807841276	0.020600669
ODF2	-0.29513462	0.020605534
KLF12	0.727089259	0.020641975
ABHD2	-1.046552801	0.020648035
GPR22	0.871709559	0.020665047
BSG	-0.29867854	0.020665979
HIST2H4A	-0.698313848	0.020720902
NMT1	0.667113283	0.020725462
NEU1	0.507607088	0.020774867
C6	-1.543700761	0.020779674
SPEM1	-1.490951724	0.020797625
S1PR2	-1.417343988	0.020810887
FHL2	-1.370442144	0.020843096
OR9G9	0.574588014	0.020843723
ACSS2	0.922816222	0.020921049
CCNO	-2.155825874	0.020924115
TRAF1	0.953274042	0.020938589
ETFB	-2.109710175	0.020945839
SLC10A6	0.574844124	0.020966115
KCNG4	-1.810249796	0.020997408
WNT10B	-2.329132859	0.02103451
CTRB2	-1.528206099	0.021034398
ACER1	0.786694663	0.021048673
PACRG	1.000212183	0.021048901
RFX4	-1.2259723	0.021073167
ERN1	-0.663106298	0.021071224
C17orf97	-2.546101177	0.021130305
FBXW8	-1.813284272	0.021127654
MAGEA2B	-0.418553725	0.021167838
C12orf64	1.043662133	0.021165428
LRRCC1	0.570817135	0.021198471
TDP1	0.698494268	0.021198561
AARS	-0.449779754	0.021229151
TSPAN16	-1.163905798	0.021226681
ZNF415	1.019108643	0.021244484
CYP21A2	0.960345101	0.021251423
TOR1B	-0.825771324	0.021260789
SNORA41	-0.60775799	0.021257064
LOC284276	-1.215721298	0.021285048
ATRNL1	0.816302903	0.021292601
IGF1	0.965478339	0.021334014
FGF14	-2.093294131	0.021343209
CARD6	0.740999354	0.021370901
NEDD8	-0.264831104	0.021385925
CGB	-1.339850787	0.021428388
SPTAN1	0.267846498	0.02144107
RG9MTD2	0.687109663	0.021464382
CNTN5	0.840715637	0.021495834
ST20	-0.354925646	0.021547766
FRZB	-0.703872744	0.021572009
ACCSL	-2.336193986	0.021592673
FRAS1	-1.272695485	0.021595082
C20orf30	0.444804072	0.021631768
STARD7	-0.266522118	0.021634698
MTNR1A	-2.060666361	0.021672272
FCRL5	-0.972093437	0.021693574
LSM6	0.493147428	0.021721101
MT1G	-2.36691568	0.021736501
MT3	-1.851441689	0.021764808
GPX5	-1.956537409	0.021764808
KRTAP4-7	-2.144800078	0.021804155
MRPL46	-0.543349012	0.021795222
dJ222E13.2	-0.325782044	0.021806295
KRTAP10-1	-2.024943666	0.021816164
FRS2	0.774252563	0.021837184
CYB561D1	-0.705970997	0.02184109
ARID4B	0.763469952	0.021875119
AHNAK	-0.284555118	0.021885523
ZNF385B	-2.32246642	0.021952387
B3GALT1	-2.452966097	0.021976962
C11orf55	0.539885626	0.022028732
SLC26A1	0.798365066	0.022036648
IRX2	-2.122516075	0.022065741
PPAPDC2	1.03821915	0.022066787
ZBTB44	0.47604803	0.022099296
FCAMR	-2.404971731	0.022104625
CHST15	-0.970608152	0.022127057
NES	1.43192363	0.022132689
FGF16	1.297053542	0.022208012
DPP10	1.019877173	0.022206212
TLCD1	-2.133935372	0.022230675
C12orf63	-0.448252161	0.022231232
OR52A4	-2.177590011	0.022266265
TRIM24	0.654887738	0.022276304
HERC3	0.698434278	0.02232496
TLR10	-1.876161336	0.022330552
RPESP	-1.684629667	0.022351523
ADAMTS4	-0.83243632	0.022360142
